palavra,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Total,NOVO
checking,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
checks,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
learned,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
learning,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
learns,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
system,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
systems,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
website,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
websites,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
add,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
added,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
adding,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
adds,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
read,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
reading,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
reads,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
report,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
reported,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
reporting,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
reports,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
deposit,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
deposited,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
depositing,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
deposits,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
trainer,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
trainers,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grouped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grouping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
request,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
requested,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
requesting,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
requests,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
researcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
researchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
update,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
updated,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
updates,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
updating,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
include,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
included,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
includes,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
including,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
change,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
changed,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
changes,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
changing,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
metadata,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
post,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
posted,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
posting,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
posts,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
session,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
